p.total_normA = 4096.531250
p.total_normB = 4096.532227
[info] elements obtained by MM and AMM
my kernel,cuBLAS
-12.780881, -13.243292
-141.607605, -139.914261
64.935623, 69.503181
94.250618, 88.085724
13.937542, -2.299330
-59.336594, -50.360981
35.014217, 27.116375
-12.177032, -2.245639
-11.427865, -7.690143
6.081477, 16.639166
-13.591502, -0.637474
-84.395332, -93.159149
-4.074261, -1.408164
110.779358, 117.308525
16.691811, 1.705873
-20.038261, -28.028473
9.301001, 10.709953
26.093275, 21.070841
7.134649, 1.110823
-70.269127, -70.393524
22.969172, 13.114985
126.220131, 124.759850
20.742992, -0.336184
11.033215, 6.770037
-81.391533, -84.159317
96.113190, 103.762085
23.982475, 10.659074
48.374146, 50.287128
-132.052750, -126.426689
-60.658035, -75.293243
174.950180, 162.134888
-83.838737, -80.372749
33.045414, 37.139847
-86.364937, -76.698975
60.898384, 63.036079
10.819451, 5.690051
-21.689810, -22.090046
-91.593231, -80.725639
109.672935, 111.835709
-7.691031, -31.383156
-22.571747, -23.686655
-2.187739, 4.805060
-53.894951, -47.227077
18.501301, 19.945654
95.216965, 97.470604
-34.003040, -44.302113
36.343998, 46.833904
-7.399357, -13.806009
-57.406898, -58.442760
-63.284649, -60.788048
47.752991, 54.578857
-51.605442, -54.186520
71.611336, 64.786644
53.298126, 46.246334
23.536999, 20.582785
-22.883732, -15.880833
-11.913260, -12.890217
-99.950005, -101.193588
107.454460, 113.658310
60.321014, 53.878864
-82.934303, -77.803902
-54.316181, -60.953220
-14.622246, -11.963233
-32.224098, -27.748531
-81.453300, -88.154945
53.016048, 52.025269
142.107941, 144.575470
-11.594021, -6.834789
-55.349319, -43.912708
3.137901, -11.699137
-94.921509, -87.366837
-66.675842, -56.423992
-9.314696, -5.126527
30.681965, 32.482117
1.054951, -10.423619
19.574514, 12.189495
24.588865, 23.677774
-44.612103, -37.754566
103.785721, 105.308823
62.272903, 72.934731
49.373577, 61.647110
0.448057, -6.816137
-117.461433, -118.949829
-104.647003, -106.954964
-14.648407, -9.906738
18.164911, 14.706884
-32.930557, -35.736275
-0.433075, 1.697492
38.157116, 43.254025
50.373512, 49.767460
-51.439495, -43.489269
-30.744492, -26.886648
-8.197675, -1.831522
-13.400575, 4.694914
29.555555, 28.120735
19.232506, 28.711447
77.929054, 78.926582
41.643547, 22.292721
10.252996, 12.568480
-43.123371, -43.756851
-64.572678, -68.481651
-56.312061, -52.004372
12.229223, 9.255692
1.370892, -8.989194
44.990772, 46.990883
16.887192, 25.091000
75.228340, 58.226452
-37.035339, -40.853470
-43.446285, -37.455814
17.661781, 11.552207
-75.526085, -74.733467
-22.507929, -29.625132
50.345612, 50.578991
9.113664, -2.508383
12.426747, 13.754674
-29.698917, -31.397070
-55.871895, -56.629917
77.370537, 87.288445
-23.759907, -38.288258
-21.673018, -24.784439
-32.774300, -44.140610
-66.901878, -75.961433
-70.857269, -77.949646
59.413452, 52.126648
62.995090, 70.306992
8.537063, 13.364220
-26.492327, -25.605110
-84.814484, -94.277245
120.688530, 121.342300
-39.863564, -31.809788
50.741470, 65.732979
-66.056435, -72.140274
10.430712, 14.951431
107.530533, 112.153671
-16.700064, -10.568335
-18.503029, -14.007829
19.492451, 17.116631
-17.090187, -21.886517
-10.393303, 0.048326
-82.007538, -78.689827
-21.193932, -20.034420
-0.624187, -0.056138
72.251526, 66.953239
-3.670113, -10.670936
76.582664, 90.428200
25.413267, 26.731215
46.860416, 37.225193
-13.500819, -6.295633
-38.949795, -44.024769
-47.016666, -56.245884
145.130386, 139.675644
-30.884750, -25.792120
85.588562, 81.110596
-18.604298, -7.647104
62.771580, 55.729412
23.575722, 20.095745
29.522581, 36.229881
83.263268, 66.327744
-47.806774, -55.065022
-13.490835, -6.254671
32.207672, 30.613020
53.554623, 53.423710
-73.752975, -82.205643
12.013871, 19.018421
-43.514004, -39.166222
7.558378, 12.715331
-29.720226, -32.675873
22.134409, 24.916357
-0.748117, 2.891633
-19.923632, -10.167833
5.965164, 12.985695
33.924393, 41.091377
30.738228, 24.788000
-21.377573, -29.133179
-83.134369, -71.787140
143.861465, 135.115692
60.176899, 50.318085
0.366715, 0.473457
12.212410, 16.113497
-154.461761, -149.993469
17.869230, 25.910736
-55.176655, -52.482330
68.949585, 75.016418
130.414459, 130.483887
4.297487, 5.167713
-145.419250, -144.221207
71.993225, 83.505959
10.744580, 25.950550
31.222574, 24.528940
30.293003, 30.431147
-48.826054, -48.466042
90.072144, 85.923271
70.795471, 67.637329
100.579796, 102.549141
-27.943300, -31.777439
-129.983139, -128.727493
-63.130878, -64.174255
-99.533607, -114.741516
-135.197540, -126.365456
101.249626, 108.264481
39.199188, 45.985226
-17.374212, -1.413713
40.829361, 44.269859
5.524772, 3.176464
157.108231, 168.950623
89.677666, 96.689453
-113.854225, -109.673927
-160.642120, -164.647217
-42.824829, -49.111893
-52.938591, -42.761150
65.078308, 55.365524
25.275192, 28.540262
89.946053, 90.830467
103.952583, 110.584373
35.994354, 39.398670
15.880254, 4.731451
-10.857502, 1.259999
82.992577, 69.040306
-9.316173, 2.343541
-3.559490, -13.853965
-0.497842, 7.484133
-112.647873, -124.368515
-24.908283, -22.478727
-9.537056, -6.893258
-44.943733, -47.208492
-91.083054, -89.301941
72.274429, 77.261200
42.336136, 56.492382
42.349075, 26.901920
71.268539, 62.701992
-59.965164, -61.502201
-10.996213, -6.752850
-107.700111, -104.581841
76.614677, 70.918404
-31.546375, -30.286810
-46.008923, -47.823925
-44.881496, -40.667553
50.964695, 44.467411
14.085016, 23.415653
13.662260, 21.181791
18.666616, 13.766713
-73.560768, -63.725262
-81.596825, -78.524857
-67.896408, -61.412327
32.193672, 37.541058
8.154203, 11.375832
-44.189846, -49.317078
59.249142, 62.589081
-89.731491, -96.242920
21.638096, 15.510552
-5.587866, 6.367986
-56.526573, -42.660725
-46.161995, -53.068375
43.391186, 43.582088
-89.748024, -92.323502
-58.074757, -63.331520
-33.992466, -27.079075
14.640197, 24.784313
-75.821846, -79.392937
91.193420, 93.662857
-28.669010, -27.926947
-10.877017, -20.489473
88.522736, 99.145538
-16.709320, -19.101755
35.025982, 44.535427
130.785767, 119.827316
-57.155449, -55.881378
-86.784721, -75.089539
-13.832520, -5.322650
76.333694, 63.118847
42.077431, 37.489887
5.130777, 1.570144
-61.651295, -67.171822
-54.879631, -58.332767
-8.393560, -23.040173
-44.359486, -46.410480
-125.644409, -109.947784
-77.748055, -75.078560
-21.876034, -21.276941
-61.869579, -64.038231
-44.702927, -53.718563
18.384312, 2.063807
28.931534, 21.694241
-78.193260, -79.693878
-30.346968, -22.880266
-16.157675, -15.984434
-1.155941, -7.336725
25.675095, 29.127989
16.732862, 6.257379
57.745583, 49.575813
-131.462219, -131.011414
11.339085, 14.013569
131.315445, 133.095657
97.701057, 102.066139
14.243435, 0.080570
5.545487, -0.360597
37.365192, 28.866806
-122.347801, -126.191933
48.461308, 49.822742
19.501362, 16.102388
-85.844070, -86.367546
-64.251671, -65.459869
-7.242288, -4.762068
23.068619, 21.677996
73.410347, 71.529610
-19.073082, -23.091492
-18.463873, -33.637665
-39.186913, -28.244795
